DESCRIPTIONS,severity,severity_score
Please Complete Work as Per System. Create a sample of organizational structure design,,50
Please Complete Work as Per System.  FORM WISE TABLE LIST,,50
"User Id :- Kamlesh72165  Password:-123, Employee Code:- 72165 kindly remove pemission of  Store because permission is  not assinging . ",,50
Please Complete Work as Per System. Pls improve the configuration of Sales Quotation same as in Sales quotation amendment ,,50
Please Complete Work as Per System.  Stock Accounting GL Mapping https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzQbfBqKSDvtwBrpGBPQHCMqscQh?projector=1&messagePartId=0.1,,50
sales invoice no.GST/25-26/113  party name-SJRC Machines Private Limited  bill cancle karna h,,50
Please Complete Work as Per System. API for IOT Automation ,,50
Please Complete Work as Per System. PFA for adding defect type in create ticket,,35
Please Complete Work as Per System. As per discuss with shahi sir we generate supplier order print ticket reference from ticket - 2025428 ,,50
Please Complete Work as Per System.  So status so no wise report m financial year ka impact hatana hai user apne hisab se date range daal k data search kar sakta h this work is temporary aur main work company master se hoga,,50
"  In the company master, add checkbox for financial year  Applicable on report. .",,35
"item production se afex  me data aana chahiye, print pe issue aur form save, edit update hona chahiye",,35
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir. ,,50
Please Complete Work as Per System. autocomplete design and basic changes,,35
Please Complete Work as Per System. Sales Return - SR Currency Conversion  https://docs.google.com/spreadsheets/d/1a76B7dUHKEwnp6G6vMQ1FfjWwlLl_WPz/edit?gid=301645690#gid=301645690,,50
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
(approve client form). https://docs.google.com/spreadsheets/d/16yU1Q3wsj8fitkpXU8RbFAEm2L4vfaWX/edit?gid=1288880029#gid=1288880029  ,,50
Add Foreign Currency and Calculate amount and tax in Foreign Currency conversion.   https://docs.google.com/spreadsheets/d/1YYnWm4zmuyo3tq9wvWDiwYa3rJ3mROvT/edit?gid=2049790193#gid=2049790193,,35
Please Complete Work as Per System.   (SALES ORDER AMENDMENT AGAINST SALES ORDER (CURRENCY CONVERSION) https://docs.google.com/spreadsheets/d/1YYnWm4zmuyo3tq9wvWDiwYa3rJ3mROvT/edit?gid=828179118#gid=828179118,,50
Please Complete Work as Per System.  (Supplier Bill Currency Conversion) https://docs.google.com/spreadsheets/d/1EGMK0NvPUYMeKAi-WNVfplgCJ2xkaOP_/edit?gid=1753023694#gid=1753023694,,50
Please remove permission of  72165 (Kamlesh) of Purchase Module,,50
Please put Emp Code-72311  in Employee Master where Emp Name-Rajesh Kumar  Father's Name-Kuvarpal Singh.,,50
While editing some checklist in checklist template data is not showing.  I checked following mentioned checklist and also attaching a screenshot.  CL Template Code 1 : MCS/A0803  CL Template Code 2 :  CS/49 and etc.  ,,50
sale invoice no-PEPL/25-26/68  dr &  cr  are not equal .exception(save/sale/pos,,80
sale invoice me dr & cr amount equal nhi h .exception (save/sale/pos). tcs -2% new customer.,,80
Please remove permission of  Emp..Code- 72165 (Kamlesh)  of Store and Purchase Module,,50
"Please Complete Work as Per System.  JV/25-26/101  plss add GST Impact row Details - HSN Code - 998212, IGST - 18%, Taxable Value - 200000.00, Because CAA karne par pls add one raw in gst impact aara h ",,35
Please change user id from Rutal to Rutul,,35
Please Complete Work as Per System. From Date and to date fill karne par data show nhi kar raha hai Item Production k dashboard pe Exception - GetItemProductionDashboardDetail From date - 01/04/2025 to date 08/05/2025,,80
Material Receipt Note (MRN) me ALT UOM Conversion  ka  kam karna h POS/inspection ke case .,,50
Please Complete Work as Per System. Item Bom MFG m finish good consumption and by product substitute m item show nhi kar rahe h Item Bom MFG m Item data show kara dijiye,,50
Customer ageing Reports not giving proper data.  issue was continuously raised in accounts group.  last on 25/04/2025,,50
ITEM MASTER SKU-326113 HSN-998933 CHANGE KARNA H,,35
Please Complete Work as Per System.  MATERIAL RETURN TO SUPPLIER- (CURRENCY CONVERSION) https://docs.google.com/spreadsheets/d/1I2AH3lAd21CURdK09RGyurlRTNJMg6kT/edit?gid=301645690#gid=301645690,,50
"In Stock Accounting Journal Voucher ,Entry Was repeating 3 times , 5 times and even 10 times (JSA/25-26/1136,JSA/25-26/1232,JSA/25-26/1136)Please Correct this and also related Reports. I have attached one Example.",,50
Earning Category Incharge  ka column Add Karna hai. B & P (BOOKS & PERIODICALS) - B&P /   SPECIAL ALLOWANCE - SPA /  WASHING ALLOWANCE - WA /  EDUCATION ALLOWANCE -  CEA / DEARNESS ALLOWANCE - DA,,35
The text (Hindi) that we put in description and objective  part of the  Create Course  Module didn't come properly (It is showing in form of question marks .,,50
In store issue  Requested By or  Issue By  showing name  wrong name there should be show name who is request or issue kindly check this error as soon as possible .      ,,80
Add Foregin Currency and Get Alt Conversion For Supplier Order. https://docs.google.com/spreadsheets/d/1FAnQuJYW_ACABmoPNdUWJJGiw6KFOOaD/edit?gid=1308785079#gid=1308785079    ,,35
Please Complete Work as Per System. PFA for data feed in Leads form ,,50
Please Complete Work as Per System. ITEM BOM AMENDMENT MFG ALT CONVERSION https://docs.google.com/spreadsheets/d/1RCOTe_aU2vraCjdxKe9OslMh0Pd_dcAh/edit?gid=963318767#gid=963318767,,50
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
 In sub - Ledger Report we are not able to edit amount if we change in General Ledger Opening Balance as per discussed with Kuleep Sir and Vipin. Please give  permission for edit in sub-ledger opening  for this because there are 100 -200 customer and vendors if we created from sub ledger again,,35
Please Complete Work as Per System. Item Production me Qty fx me jo specification aare h aur unke jo UOM hai unke decimal place ke according data aana chaiye kuki Dispatch P998 me transaction karne par KG per piece round of ho jara hai after decimal data nhi aara,,50
In customer Ageing Outstanding Report Invoice Wise received amount is showing more than bill amount which is wrong Please Correct this. Also refect the data to other reports  related to this. I have attached an Excel sheet for better Clarification.,,50
Please do the changes as per mentioned in attched Excel Sheet.,,35
Please Complete Work as Per System.  SQ Summary Report https://docs.google.com/spreadsheets/d/1UM6st9ksWZuBtKQkDwI56Wtoqy1c7Njz/edit?gid=1545118026#gid=1545118026,,50
Please Complete Work as Per System. Item Production se batch delivery note m scan karne par loader chal raha hai aur Item production m qty fx se after decimal data packing slip k sath Delivery note m bhi aana chaiye Reference ticket - 2025539,,50
" Create a new Gantt chart Form using the available production plan . The objective is to visualize the production timeline, showing task durations, dependencies, and key milestones to ensure better tracking and planning. This Gantt chart will help align team activities, monitor progress, and identify any potential delays or overlaps in the schedule.",,60
Please Complete Work as Per System. MATERIAL RECEIPT NOTE (MRN) BAR CODE ON PRINT https://docs.google.com/spreadsheets/d/1QmRQGJpOGL9mHFSMBP-ED0GQV6nfTPUx/edit?gid=1155688116#gid=1155688116,,50
Please Complete Work as Per System. MATERIAL RECEIPT NOTE (MRN) BAR CODE ON PRINT https://docs.google.com/spreadsheets/d/1QmRQGJpOGL9mHFSMBP-ED0GQV6nfTPUx/edit?gid=1155688116#gid=1155688116,,50
Please Complete Work as Per System. Crown Honda Vaishali ka code A000013 Erp mein Dala gaya hai waise crown honda ka code A000041 hai  pls change as per request and also impact the all other transaction and reports etc.,,35
"In Sub Ledger Report , one entry is showing 2 times (SBMRN/25-26/141). I have also attached in excel sheet.",,50
"In Supplier Order Amendment , we are not able to Print. We want Print  option in this.",,50
"Please Complete Work as Per System.  PS/25-26/350 on updating any next batch it will not update Successfully PFA for error. BSMA/25-26/5470 this for new adding batch (Exception - DeleteSalePOSItem, SaveSaleInvoiceItemDetail ",,80
"While filling checklist in checklist plan the loader is running repeatedly, I am giving you the details :  CL-43  Asset Code : A0806/01  and also attaching the image.",,50
Please Complete Work as Per System. PFA for Sidharth sir approval Pls Change the date of   FY2025-26 opening balance - 26199050 pls change date - 01/05/2025  to 01/04/2025 ,,35
"Please Complete Work as Per System. SALES ENQUIRY FMS-1, https://docs.google.com/spreadsheets/d/1j6QHpQujEjcZykIovN9T951Kep5CaoA9/edit?gid=1335392739#gid=1335392739",,50
ITEM MASTER SKU -327535 HSN CHANGE -40114010  ,,35
SALES ENQUIRY FMS-2(DATABASE-GET SALES ENQUIRY FORMAT AND DOC DATE). https://docs.google.com/spreadsheets/d/1ep1MmBYDGDJ56BXCi56CDYs6RsGh9RCw/edit?gid=1427604282#gid=1427604282,,50
SALES ENQUIRY SUMMARY -DATABASE-GET A DOC NO AND DOC DATE IN A REPORT (GET SALES ENQUIRY FORMAT AND DOC DATE).,,50
Please Complete Work as Per System. Pls Provide voucher type Production in format master of module Accounts - Item Production - Voucher - Production,,50
"Please Complete Work as Per System. Sale Invoice - 20183905, Pls change vehicle number - GJ12Y7005 to GJ39TA5994",,35
Please Complete Work as Per System. PE/25-26/1 invoice is not getting approved msg - debit credit should be equal in transaction TCS - 2% may be TCS gl is not updated pls update on PNE server as per P1022 thank you,,35
Pay Period Master going wrong Pages Name as Definition Master. please change definition master to Pay period master.,,35
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
Please Complete Work as Per System. As per Discuss with shashi sir pls deploy code for temporary  for Alt conversion same as sekhani client server after all code update it will be permanent ,,35
Asset master Improvement. https://docs.google.com/spreadsheets/d/1_LFybfS2_14hnwPMU8sIE4ML8xJQOhHQ/edit?usp=drive_web&ouid=111681175902725356042&rtpof=true&urp=gmail_link,,50
Please complete work as per Attached Excel  Sheet.,,50
 Whole ERP in check all item popup alternate conversion and maintain sheet with popup all details.,,50
In GSTR-2 - B2B remove  data of Unregister Party or where GSTIN of Supplier is equals to Unregistered. And also Change the sequence of Coulumn as per attached Excel Sheet.,,35
"Add Column of Currency Conversion & Alt UOM Conversion in Item Production for main product, by product & Consumption. https://docs.google.com/spreadsheets/d/1fH95TfU_O0vo4iS7LXBqP92chQOKyX_E/edit?gid=629908119#gid=629908119.",,35
In the Sale Invoice No-PEPL/25-26/98 change in column Tax Template (Inline Level) INTRA to INTER with reflect IGST.,,35
"In Sub Ledger Opening , Please Add 2 Columns which  is Previous Balance and Diffrence Balance as per discuss with Kuldeep Sir . And at the time of editing of Sub ledger Opening , Balance should reflect according to General Ledger  Opening Balance.",,35
Please Complete Work as Per System.  PFA for  GSTR1-Summary for CDNR as per discussion with tisha ji there is a new requirement to add column in this report Severity Score - 76,76.0,35
"Please Complete Work as Per System. SQ - DT/256/SQ/25-26, DT/257/SQ/25-26, DT/258/SQ/25-26,  DT/139,/SQ/25-26   Pls check which user has approved the transaction because audit trail report showing only one person name Divya doesn't have  permission to approved",,50
"Please Complete Work as Per System.  DNSO/25-26/351 is not getting approved there is a exception Method name - GenerateStockAccountingVoucher, may be stock accounting gl is not merged if there is no stock accounting of sku - 328922 pls let me know otherwise pls resolve as soon as possible",,80
(Client Registration/Register Profile. ) The Client Registration Profile design has been updated according to the new theme.,,35
Please Complete Work as Per System. Notification Template https://docs.google.com/spreadsheets/d/1s32OlC2dISCxSaO_11RQvDamHJzlUthM/edit?gid=1092425870#gid=1092425870,,50
Please Complete Work as Per System. Configuration  https://docs.google.com/spreadsheets/d/1s32OlC2dISCxSaO_11RQvDamHJzlUthM/edit?gid=941356500#gid=941356500,,50
"Please Complete Work as Per System. Party Name - Aishwarya Hi-Tech Industries PO amendment - 20251396, In inward note PO selection pop showing 3 item to 6 item may be double impact has approved of Po amendment pls correct with single impact. ",,50
Please Complete Work as Per System. Store Issue Alt Conversion https://docs.google.com/spreadsheets/d/1DNfOfkr9jxSmJx-HIK7JvwSkdlssH7hL/edit?gid=738623626#gid=738623626,,50
"In Item Link with GL , GL needs to be changed in Some Vouchers. So that  I have given you data SGroup wise in Attached Excel Sheet.I have taken Approval from Siddarth Sir.",,35
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
Please Complete Work as Per System. The SECURITY CODE MASTER design has been updated according to the new theme.,,35
"Please Complete Work as Per System. In my TMS form, the calendar tabs are set to 'Year', with the Year view currently active. Please change it to 'Weekly'.",,35
In journal Voucher one entry is repeating multiple times. Please correct this. And also reports related to it. I have attached the list of Doc. No.  which is repeating multiply times.,,50
"In Journal Voucher , when we export data its showing wrong    Column name .BRVNo. name Column need to be changed to Doc. No. and BRV Date Column name need to be changed to Doc. Date",,35
Please Complete Work as Per System. create a new page on the Sanchay.co website titled 'Sanchaytech Partner'.,,50
Please Add Alt Oum Id and conversion save edit update,,35
"Please Complete Work as Per System.  Inside the 'My Dashboard' form, the chart should support zoom functionality and be able to enter fullscreen mode, including when viewed within an iframe.",,50
Please Complete Work as Per System. Pls rpovide E-way bill print template for demo and pls find out the attachment ,,50
Item Production se JV me Dr & Cr Amount me differ hai. ,,50
Item Production se JV me Dr & Cr Amount me differ hai. ,,50
Please Complete Work as Per System. Purchase register pivot report mai jab personal report create karte hai to From date and to date header se hat jata h aur exist report m bhi date hide ho jati h 2.  Doc date format bigad jata h .,,50
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
 In Item master Fixed asset sgroup some items are not showing - MACHINE REMA ENGINEERS      MACHINE REMA ENGINEERS      VACUUM PACKING MACHINE  MACHINE REMA ENGINEERS HDC-650-D260MM  MACHINE REMA ENGINEERS HDC-650-D260 MM  MACHINE REMA ENGINEERS      HEAVY DUTY DOUBLE  CHAMBER VACUUM PACKING MACHINE  MACHINE REMA ENERGIES  HDC-650-D260MM     TMT BARS FE 500D 08 MM  TMT BARS FE 500D 10 MM pls show in the item master Severity Score - 100,100.0,50
Please remove permission of Emp..Code- 71074 (Indresh Kumar ) module:- Store ,,50
Please Complete Work as Per System. The ApproveClient form design has been updated according to the new theme.,,35
"Improve performance (In the Master page add/change Column (Financial ID, company ID, Is Approve). SQL query change in Master page. Transaction Level change & Add.",,60
Token Management.,,50
In General Ledger please do the Following Changes :  1.GL Code - L0125 (Provision for Electricity Expense ) change Account Group to MANUFACTURING (EAG004 ).  2. Deactive the GL - Goods Received Raw Material AP Pending(A0237 )   ,,35
"Please Complete Work as Per System. Pls remove permission for Employee code - 72088 of module - JobWork Inward, Sales,",,50
STORE ITEM MASTER-327996 CHANGE HSN 732619,,35
"Please Complete Work as Per System. Sale Invoice E-way Bill print PFA,  https://docs.google.com/spreadsheets/d/1BkjVgT237lJ2BH7VycJObVk_iPzpXD-w/edit?gid=816158411#gid=816158411",,50
HRMS me Apr 2025 tak ke sare Pay period close karne hain. Pay Roll ke salary jo last me generate hue hain usse delete karna hai.,,50
The basic modifications need to be fixed for the STOCK ACCOUNTING GL MAPPING form's main jqGrid and popup.,,50
"Please Complete Work as Per System.  Pls change Customer Name as per request of Dugar Tubes, PFA.",,35
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
 Please complete work as per WBS Work sheet.,,50
"While edit checklist point in Checklist template If we edit a standard response and then go to another, it remains the same as before.",,50
Please Complete Work as Per System.  Company Master me Billing Shipping Address agar 2 add hai billing aur shipping aur unka check box billing ka billing se aur shipping ka shipping se but jab edit karte h shipping address ko to edit time shipping wale check box billing m chale jate h jis wajah se edit update nhi ho para h  pls resolve as soon as possible ,,35
"Please Complete Work as Per System. Agent Code - AC0025 , Agent Name - D. D. SHARMA , Transaction status is approved pls change to Cancel because address line is blank and user create new Agent pls resolve as soon as possible",,35
Please Complete Work as Per System. Inward note - IN/25-26/525 is not getting approved.  Pls resolved as soon as possible because dispatch is hold Severity Score - 100,100.0,50
Please Complete Work as Per System. Paymentintegration https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzQbfVBKJqWFszgxTmGlqMWsChQb?projector=1&messagePartId=0.1,,50
Please Complete Work as Per System. PO/2025-26/109 SRNo - 2024202 in inward note PO selection pop showing 32 item may be supplier order approved impact 2 time pls do only one time impact ,,50
Please Complete Work as Per System. Backend mein data do baar dikha rha hai Jb ki data type drop-down hai aur response numerical mein aa rha haai,,90
Kindly plan the checklist to employees as per given excel. From Date 01-06-2025 - To 30-06-2025 If there is any query kindly let me know.,,50
Please Complete Work as Per System. On edit approve and View time employees master data not showing for example Emp code - 72054 pls resolve on functional server,,50
"In Journal Voucher (Stock Accounting) , In one voucher is showing multiple GL even if one item is issued in store Issue as we discussed earlier.I have attached the attachment in which voucher number changes needed.",,35
STORE ITEM MASTER SKU-326212 CHANGE HSN 998933 KARNA H,,35
"Please Complete Work as Per System.  Sale invoice - PEPL/25-26/125, Pls put the Vehicle Number - GJI2BX4035 PFA",,50
"In Store Issue Return Please Add 3 Columns (Column Name - 1.Store Issue Return Date, 2.Bill Date, 3.Bill No.) at the end of Right Hand side of row as per mentioned in attached file.",,35
Add tab of Attachment & Add Download icon in Supplier bill .,,90
Improvement (Add data for All voucher type form & transaction data).,,35
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
Document date validation Current date ,,50
Please Complete Work as Per System. Item Bom MFG is not getting saved There is a exception Method Name - SaveUpdateItemBomMfg    Severity Score - 98 ,98.0,80
Please Complete Work as Per System. Item Production Print Brand photo is not showing and Qty fx value also not showing pls resolves as soon as possible Severity Score - 98,98.0,50
Please Complete Work as Per System. Implementation Bonvoice  Credential ,,50
Please Complete Work as Per System. Bundle se Dispatch me add nhi hora hai may be alt work is not done yet so pls temporary deploy alt conversion on dispatchP998,,35
Please Complete Work as Per System. DipatchP998 transaction is not getting saved there is a exception method name - SaveSaleInvoicePOS,,80
In control plan there is a field SO / SOA No   All sales order numbers of a customer are not appearing in the pop up.  Customer Name : Ocap Chassis Parts Pvt. Ltd   Sale Order no. SO/24-25/290   and many more   Only three are visible.,,50
Please Complete Work as Per System. As per discuss with shashi sir please Create a Replica data base of Halco Database,,50
Improvement ( User Page Control Permission),,50
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
"In Item master , Please add 2 Columns  in Search Filter as mentioned in Attachment. Column Name  (1. From Date , 2. To Date )",,35
Please Complete Work as Per System. Vouchers Master https://docs.google.com/spreadsheets/d/1ddU9f_hAiL6G_cXxpCv37hnf4h5tt7T6/edit?gid=186687698#gid=186687698,,50
"Please Complete Work as Per System. Pls change Customer Code - 1. Brite Autocars Private Limited=550 erp mein karna hai A000700,  2. Rishi Car Decor=0 erp mein karna hai A000704, 3. Royal Car Accessories=8000757 erp mein karna hai A000757,   4.Sahil Enterprises=A000700 erp mein karna hai A000770  ",,35
Please Complete Work as Per System. In Item Master Fixed asset Sgroup's item are not getting approved there is a msg - something went wrong i can;t find out the problem from front ends pls provide solution for this error there is an exception method name - UpdateItemMaster Severity Score - 98,98.0,80
on the time of inward against this GE/25-26/611 number item is not showing in consume item details against this JWO/25-26/24. pls resolve asap its urgent ,,50
Alternate UOM conversion ka kam karna h,,50
Improvement (alternate UOM ka kam karna h.,,50
Improvement (ORGANIZATION WORK SCHEDULER) ,,50
"Please Complete Work as Per System. PS/25-26/1 is not getting approved msg - Data not approved Exception method name - GetSaleInoiceDetail, 2. Bundle - Halco/25-26/4 is not getting add in Packing slip for any customer Exception method name - GetItemDetailAgainstBatchCode, (URL - erp.sancahy.org  Security code - Halco, User id - superadmin  Pass - 2025",,80
Please Complete Work as Per System. Untitled page on export to excel all the auditor dashboard data we can't export the data pls arrange the all data in excel thank you. ,,50
Improvement (IVR Call) change Name Bonvoice to DID Number ,,35
Please Complete Work as Per System. new form design F&F Booking https://docs.google.com/spreadsheets/d/193geplznkVnCwD6AAssxHcKsNZsijj9S/edit?gid=506943772#gid=506943772,,50
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
In the item name master when I create new item but item is not getting save & msg popup-item already exist. may be some column is null saving in backend table.,,50
Finish good ke jitne bhi item h  main unit  & alt unit KGS to KGS h. isse KGS to PCS karna h.ratio/Qty conversion 1 to 1 karna h,,50
Please Complete Work as Per System. Employee Code - EMP08 approval button is showing x pls provide solution for approval and what kind of issues or data missing pls provide solution for this,,50
Please Complete Work as Per System.  In Salary Generation pay period pop up showing only April month 2023 Pls show the data of pay Period PFA,,50
"1.In NFS Setup form Please Give option for Dublicate  when Financial Year Changes as you have given otion in Final Account Set up.  2. In Reports of NFS , Please give Export to excel option in dashboard of reports as mentioned In attached Excel.",,35
"We uploaded data in two forms (Checklist  Master & Scheduler Configuration) from backend few months ago, but data is not showing on frontend.  Kindly check why data is not showing??  ",,50
"Please Complete Work as Per System. In Item Production with plan case Main product item is not picking Batch code from Consumption item for example PP - 20182285, Main Product SKU - 328683, Consumption SKU - 1000000051(Note - In without plan case is working )",,50
STORE ITEM MASTER SKU-327772 HSN CHANGE 998933,,35
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
Please Complete Work as Per System. ,,50
Custom Design Improvement With New Design.,,50
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
Please Complete Work as Per System. Point Number 5. Vehicle Details in print showing transporter name but in actual it should be show  Vehicle number. For Example Transaction - PEPL/25-26/145 in this transaction - vehicle details showing transporter name pls show Vehicle number,,50
Improvement(store requisition)  & store requisition  me item/sku pe curser jate hi popup open ho rha h usse band karna h,,50
SALE INVOICE ME PRINT NHI HO RHA H. LOADER CHAL RHA H EXCEPTION.,,80
Please Complete Work as Per System. Purchase fms report m koi data show nahi kar raha h Exception method name - GetPRvsVQorPOReportData Pls resolve as soon as possible,,80
Please remove all permissions of Module  (Quality Control ) Emp. code (10051)  Mool,,50
In On Account Reports we want the option of till date in search option and Remove search date filter From Date and too date.,,50
In Sub ledger Report opening balance shows even we have cancelled the opening Balance in Sub ledger Opening as we have Discussed. And I have also attached an Example of KKM,,50
Please Complete Work as Per System. IVR incoming Call data is not showing in Follow up history.,,50
"Please Complete Work as Per System. Pls change the Bank account check box yes to no of GL Code - GL014, Name - HDFC BANK -Term Loan Account  is there any wrong impact pls let us know and pls change as soon as possible Severity Score - 98",98.0,35
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir.,,50
Please Done  Work as per attached Excel Sheet.,,50
"In account Module we want a separate report of GSTR2-B2C(Purchase Detail of Unregistered Supplier )which is earlier came in GSTR-B2B. In GSTR-B2B ,I have removed data of Unregistered Supplier Detail because its not came in this report)",,50
"In Sales Return - SR ,  we are not anle to approve one Entry  (SR/25-26/4)  and no message was Showing.",,50
E-Way Bill me Valid up to Date jo Aa rhi h generate date se aa rhi h but  km ke according valid up to date utha leta h,,50
please complete work As wbs,,50
Complete work Asap.https://teams.live.com/l/message/19:uni01_wp52vyjrqed6fcxl4ngbz7hfppfb7tdkt2vl6hplwaa4vudsgt6a@thread.v2/1749793941950?context=%7B%22contextType%22%3A%22chat%22%7D,,50
Call Bassis Name ki jagha number lana hai   2) Call Initate me message dena hai  3)Followup type me change krne ke bad contact personName and phone no blank krna hai,,35
on the time  creating inward note against  this  gate entry no.GE/25-26/200 we are not able to save this transcation. ,,50
"When we have to edit the last points, we have to scroll up and put a scroller there so that the points can move up and down and the area where we fill the data remains fixed. The problem is that there are 50 points in a checksheet and we have to scroll down and we forget which points we edited and it's too time consuming.  I am also attaching the photo where we want it.",,90
"In Bank Receipt Voucher (BRV/25-26/110) Debit , Credit Showing Equal Balance but in entry in Accounting tab Showing Different amount  how? How Its Saved?",,50
Please Complete Work as Per System. (Leads) https://docs.google.com/spreadsheets/d/1xsy3XecfyItqDbAKHh78lGtzeai2pCwG/edit?gid=750255763#gid=750255763,,50
In batch Wise Stock Many SKUs are showing in Negative . Please Resolve This.,,50
Sale Invoice me E-way bill   template ke sath me Dikhana chahiye.  1. Template for sale Invoice  domestic & 2. template for sale invoice domestic container & seal no.,,50
 Sale Invoice print me signature Authorisation ka kam karna h. jisme  Stamp & Signature lana. file Attacment se.,,50
"1. Supplier order me transaction ko view, edit & approval pe  Item ka tab open hona chahiye. 2. item display name bada hone se chhup jata h. item tab me item display pura name dikhana chahiye.",,50
1. SE  me item ke tab p cursor le jate h toitem selection popup khul jata h wo nhi khulna chahiye jab hum click karke code And name k column me tab khulna chahiye.,,50
Edit Ke time pe Shipping Address Channge kar Sake & item rate .,,35
SQA me edit ke time pe ship[ping address change  kar sake aur item rate. ,,35
"In Stock Ledger report 2 , Please  do the changes in formula of Closing Stock Qty, Closing Stock Rate, Closing Stock Value as per attach Excel Sheet.",,35
"Please Complete Work as Per System. Pls Change the S-gorup Fixed Asset to Consumable of Item SKU - 26, 27, 28, 29, 30 as per request from client i checked there is no stock for those sku's  pls change and all impacts are on Consumable sgroup.",,35
"Please Complete Work as Per System. Inward note m Bill qty ka Alt bill qty zero jari hai aur old data hai may be isliye Alt nhi jara ho ( Party name - Shruti Fastners Limited, PO - 20251433 pls update ",,35
"Challan No:- RGP/25-26/057, 2651160310,2651160416,2651160469,2551716590,2551718407,2651160326,2551718668,2551718157,2651160295 please check and show send qty in these challan",,50
"In General Ledger Report , Zero amount (Debit & Credit ) was also showing against Bill as Shown in  Attached Excel Sheet. Zero Amount Entry Should not Shown in General Ledget Report or Sub Ledger Report.",,50
Please Complete Work as Per System. Please Complete Work as Per System. As per discuss with sidharth sir and Jagdish ji this ticket for Updating the Latest alt uom conversion of all item in sales modules transaction/ whole ERP.,,50
Please Complete Work as Per System. As per discuss with Siddharth sir and Jagdish ji this ticket for Updating the Latest alt uom conversion of all item in Purchase modules transaction/ whole ERP.,,50
Please Complete Work as Per System. As per discuss with sidharth sir and Jagdish ji this ticket for Updating the Latest alt uom conversion of all item in Production plan/item production/item bom mfg/ All page of Production transaction/ whole ERP.,,50
Format Master meJV ka do format bna hua h. JV me Doc No 1 to 5 tak create h. ek  format ka date range back year ka kar diya to JV me doc no 1 create ho gya isko 6 no karna h As per discuss. format  bhi Delete karna h,,50
Please Complete Work as Per System. PFA for Add new Column of SalesEnquiryFms1 as per client Requirement.  1. Client Requirement Data show from SQ Item detail Client Requirement column   2. Taxable Amount show the SQ per item Taxable amount with total.,,35
Please Complete Work as Per System. PFA In SQ Summary Report Add new column name - Taxable Amount jese SQ value aari h wese hi Taxable Amount aana chaiye Severity Score - 70,70.0,35
Please merge or link General Ledger with item as I have attached in Excel.I have given you data SGroup Wise.I have taken Approval from Siddarth Sir. ,,50
"These are Spelling, Space and Case mistakes in outlines of ERP",,50
"Inward note me po no & gate entry popup me nhi aa rha h. PO ka amendment nhi bna hua h. Transaction no GE/25-26/713, 201813887 urgent h",,50
"When I am Assigning Accounts Permission of Stock GL Item Mapping its Showing  Record Has been Canceled Already. Please Correct this. Id : Tisha , Password:999022. I have all pemission in Account for Create ,edit and Approve",,50
production srno isko edit karne p from date change karke update karde h to update nhi hota h. Transaction No-2018118317. Urgent h,,35
Please Complete Work as Per System. PFA for Supplier Order print changes as per requirement of Client,,35
Stock Accounting GL mapping me Ek S-group se Mapping ke Bad Dusra S-group se mapping karne ke baad Pahle wala Deactive ho rha h .,,50
Please give Emp Code(72350)to Kishor Sah / Fathers's Name-Ratan Sah ,,50
"In Sales Invoice Against  Delivery Note , When we create invoice against Delivery note sometimes its Create auto dublicate invoice  with Different Invoice No. and Same data as I have attached in attachment. It should note create these type of entries. It's need to be controlled.",,50
"We want plan as user base configuration in checklist plan.  Data represent single and multiple date wise, checklist master wise and scheduler configuration wise.      https://docs.google.com/spreadsheets/d/16HWsKoUDjV1GSYDBVSugkxFOM4Jh3s7E/edit?gid=531537173#gid=531537173",,50
on the time creating inward note against this gate entry no.GE/25-26/745 we are not able to save this transaction.,,50
